what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms",1358793450850
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358793455312
started,bundle,com.android.ide.eclipse.traceview,21.0.0.v201210310015-519525,"com.android.ide.eclipse.traceview",1358793456076
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358793465873
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358793499413
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1358793499460
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358793512143
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358793606394
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358793606503
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1358793606831
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1358793606846
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1358793606956
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1358793606971
stopped,bundle,org.eclipse.mylyn.commons.team,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.team",1358793606987
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1358793607002
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.304.v201101251958,"org.eclipse.wst.xsd.ui",1358793607018
